Learner|Best Params|Untuned Score|Tuned Score
cart|{'max_depth': 50, 'random_state': 1542, 'min_samples_leaf': 10, 'min_samples_split': 20, 'max_features': 0.32040816326530619}|0.330033|0.452145
rf|{'max_leaf_nodes': 2, 'min_samples_leaf': 11, 'random_state': 1542, 'min_samples_split': 13, 'n_estimators': 50, 'max_features': 0.21938775510204084}|0.409241|0.566557
nb|{'priors': None}|0.248625|0.248625
svm|{'C': 1000.0, 'kernel': 'rbf'}|0.606161|0.608361
knn|{'n_neighbors': 6, 'weights': 'distance'}|0.546755|0.482948
tuned_ensemble|{'nb__priors': None, 'cart__min_samples_leaf': 16, 'svm__kernel': 'sigmoid', 'cart__random_state': 1542, 'rf__max_leaf_nodes': 2, 'rf__max_features': 0.21020408163265308, 'rf__min_samples_leaf': 13, 'rf__n_estimators': 70, 'rf__random_state': 1542, 'knn__n_neighbors': 6, 'rf__min_samples_split': 16, 'svm__C': 9.9999999999999995e-08, 'cart__max_depth': 1, 'cart__max_features': 0.78877551020408165, 'knn__weights': 'distance', 'cart__min_samples_split': 17}|0.415842|0.442244
best_param_ensemble|{}|0.415842|0.515952


Tuning Times:
{'nb': 1.5462276935577393, 'cart': 3.407071590423584, 'knn': 10.394649505615234, 'tuned_ensemble': 735.4695582389832, 'rf': 224.71535801887512, 'svm': 69.98891854286194}
