Learner|Best Params|Untuned Score|Tuned Score
cart|{'max_features': 0.78877551020408165, 'min_samples_split': 2, 'max_depth': 4, 'min_samples_leaf': 10, 'random_state': 1542}|0.732970|0.792916
rf|{'n_estimators': 150, 'max_features': 0.17346938775510207, 'max_leaf_nodes': 50, 'random_state': 1542, 'min_samples_leaf': 4, 'min_samples_split': 18}|0.814714|0.806540
nb|{'priors': None}|0.814714|0.814714
svm|{'C': 1000.0, 'kernel': 'rbf'}|0.457766|0.476839
knn|{'weights': 'distance', 'n_neighbors': 4}|0.678474|0.727520
tuned_ensemble|{'nb__priors': None, 'svm__kernel': 'sigmoid', 'cart__random_state': 1542, 'knn__n_neighbors': 5, 'rf__n_estimators': 62, 'svm__C': 0.10000000000000001, 'rf__min_samples_leaf': 11, 'rf__min_samples_split': 2, 'rf__random_state': 1542, 'cart__min_samples_split': 2, 'cart__min_samples_leaf': 7, 'knn__weights': 'distance', 'cart__max_depth': 34, 'cart__max_features': 0.51326530612244903, 'rf__max_leaf_nodes': 4, 'rf__max_features': 0.95408163265306123}|0.743869|0.820163
best_param_ensemble|{}|0.743869|0.782016


Tuning Times:
{'rf': 200.74822783470154, 'cart': 1.9096205234527588, 'nb': 0.9013609886169434, 'svm': 14.12439775466919, 'tuned_ensemble': 668.0989263057709, 'knn': 3.307199001312256}
