Learner|Best Params|Untuned Score|Tuned Score
cart|{'max_depth': 3, 'min_samples_split': 17, 'max_features': 0.10000000000000001, 'random_state': 1542, 'min_samples_leaf': 10}|0.486942|0.738246
rf|{'min_samples_split': 6, 'max_features': 0.21938775510204084, 'min_samples_leaf': 20, 'n_estimators': 100, 'max_leaf_nodes': 2, 'random_state': 1542}|0.574148|0.726241
nb|{'priors': None}|0.386343|0.386343
svm|{'kernel': 'rbf', 'C': 10.0}|0.751043|0.748432
knn|{'n_neighbors': 6, 'weights': 'distance'}|0.702312|0.645551
tuned_ensemble|{'cart__min_samples_leaf': 9, 'knn__weights': 'distance', 'cart__random_state': 1542, 'cart__max_features': 0.66938775510204085, 'rf__max_features': 0.11836734693877551, 'cart__max_depth': 1, 'knn__n_neighbors': 6, 'rf__min_samples_split': 2, 'rf__random_state': 1542, 'rf__max_leaf_nodes': 20, 'svm__C': 1.0000000000000001e-09, 'rf__min_samples_leaf': 18, 'rf__n_estimators': 140, 'cart__min_samples_split': 2, 'nb__priors': None, 'svm__kernel': 'rbf'}|0.686174|0.717143
best_param_ensemble|{}|0.686174|0.701374


Tuning Times:
{'rf': 194.54091238975525, 'knn': 9.906793594360352, 'nb': 1.869901180267334, 'tuned_ensemble': 710.6294944286346, 'cart': 2.4964733123779297, 'svm': 64.1805202960968}
