Learner|Best Params|Untuned Score|Tuned Score
cart|{'max_depth': 2, 'max_features': 0.43979591836734699, 'min_samples_leaf': 19, 'random_state': 1542, 'min_samples_split': 6}|0.095238|0.115702
rf|{'n_estimators': 115, 'max_leaf_nodes': 36, 'min_samples_leaf': 16, 'random_state': 1542, 'min_samples_split': 20, 'max_features': 0.10918367346938776}|0.123457|0.104478
nb|{'priors': None}|0.097087|0.097087
svm|{'C': 1.0000000000000001e-09, 'kernel': 'rbf'}|0.051661|0.047109
knn|{'weights': 'uniform', 'n_neighbors': 2}|0.062176|0.076190
tuned_ensemble|{'svm__kernel': 'sigmoid', 'rf__min_samples_split': 13, 'rf__max_leaf_nodes': 3, 'cart__random_state': 1542, 'cart__min_samples_leaf': 1, 'rf__min_samples_leaf': 20, 'rf__max_features': 0.47653061224489801, 'cart__min_samples_split': 17, 'cart__max_features': 0.19183673469387758, 'nb__priors': None, 'cart__max_depth': 14, 'knn__n_neighbors': 1, 'knn__weights': 'distance', 'rf__random_state': 1542, 'rf__n_estimators': 105, 'svm__C': 1.0000000000000001e-09}|0.085470|0.113636
best_param_ensemble|{}|0.085470|0.106870


Tuning Times:
{'nb': 1.2383878231048584, 'rf': 163.64583277702332, 'cart': 1.8213303089141846, 'knn': 3.5932605266571045, 'tuned_ensemble': 662.0552732944489, 'svm': 15.836157321929932}
