Learner|Best Params|Untuned Score|Tuned Score
cart|{'max_depth': 39, 'min_samples_leaf': 19, 'min_samples_split': 13, 'random_state': 1542, 'max_features': 0.61428571428571432}|0.379747|0.391608
rf|{'min_samples_leaf': 9, 'min_samples_split': 18, 'max_leaf_nodes': 46, 'n_estimators': 82, 'random_state': 1542, 'max_features': 0.21020408163265308}|0.476923|0.506494
nb|{'priors': None}|0.468750|0.468750
svm|{'kernel': 'rbf', 'C': 10.0}|0.301754|0.308244
knn|{'n_neighbors': 8, 'weights': 'distance'}|0.385417|0.409091
tuned_ensemble|{'cart__min_samples_split': 20, 'rf__min_samples_leaf': 14, 'rf__max_leaf_nodes': 29, 'svm__kernel': 'rbf', 'rf__min_samples_split': 16, 'knn__n_neighbors': 8, 'cart__min_samples_leaf': 12, 'rf__random_state': 1542, 'knn__weights': 'uniform', 'cart__max_features': 0.58673469387755106, 'cart__max_depth': 50, 'rf__n_estimators': 144, 'nb__priors': None, 'rf__max_features': 0.62346938775510208, 'cart__random_state': 1542, 'svm__C': 100000.0}|0.474074|0.500000
best_param_ensemble|{}|0.474074|0.492537


Tuning Times:
{'cart': 2.0389978885650635, 'svm': 16.506813287734985, 'knn': 3.389162302017212, 'tuned_ensemble': 661.9793877601624, 'nb': 1.3097577095031738, 'rf': 157.64029264450073}
